,Rank,Name,Team,WAR,G,GS,GR,GF,CG,SHO,W,L,S,HD,IP,ER,R,rRA,TBF,H,2B,3B,HR,BB,HP,IB,SO,ROE,BK,WP,ERA,RA9,rRA9,rRA9pf,FIP,WHIP,WAR.1,image_url,team,player_id
0,1,하트,24 P,6.93,26,26,0,0,0,0,13,3,0,0,157.0,47,51,51.0,631,124,16,1,11,38,11,0,182,7,0,2,2.69,2.92,2.92,3.0,3.1,1.03,6.93,https://statiz.sporki.com/data/team/ci/2024/11001.svg,KT Wiz,16065
1,2,윌커슨,24 P,6.81,32,32,0,1,1,1,12,8,0,0,196.2,84,90,88.8,816,210,37,3,18,27,2,0,167,13,0,3,3.84,4.12,4.06,3.91,3.62,1.21,6.81,https://statiz.sporki.com/data/team/ci/2024/3001.svg,LG Twins,12295
2,3,후라도,24 P,6.61,30,30,0,0,0,0,10,8,0,0,190.1,71,78,76.95,779,185,27,4,19,32,9,0,169,12,1,3,3.36,3.69,3.64,3.78,3.84,1.14,6.61,https://statiz.sporki.com/data/team/ci/2024/10001.svg,Kiwoom Heroes,15531
3,4,반즈,24 P,6.43,25,25,0,0,0,0,9,6,0,0,150.2,56,59,55.9,624,140,17,4,18,46,5,0,171,8,0,6,3.35,3.52,3.34,3.18,3.83,1.23,6.43,https://statiz.sporki.com/data/team/ci/2024/3001.svg,LG Twins,15011
4,5,코너,24 P,5.95,28,28,0,1,1,1,11,6,0,0,160.0,61,67,65.45,663,135,17,3,21,40,19,0,158,4,0,9,3.43,3.77,3.68,3.54,4.44,1.09,5.95,https://statiz.sporki.com/data/team/ci/2024/1001.svg,Hanwha Eagles,15860
5,6,원태인,24 P,5.87,28,28,0,1,1,0,15,6,0,0,159.2,65,68,67.3,670,150,29,3,17,42,7,1,119,5,0,3,3.66,3.83,3.79,3.58,4.55,1.2,5.87,https://statiz.sporki.com/data/team/ci/2024/1001.svg,Hanwha Eagles,14113
6,7,헤이수스,24 P,5.09,30,30,0,0,0,0,13,11,0,0,171.1,70,78,75.75,728,171,31,2,22,44,14,1,178,8,1,6,3.68,4.1,3.98,4.24,4.11,1.25,5.09,https://statiz.sporki.com/data/team/ci/2024/10001.svg,Kiwoom Heroes,16138
7,8,쿠에바스,24 P,5.06,31,31,0,0,0,0,7,12,0,0,173.1,79,86,86.0,737,158,36,3,17,59,7,4,154,11,1,11,4.1,4.47,4.47,4.34,4.25,1.25,5.06,https://statiz.sporki.com/data/team/ci/2024/12001.svg,Doosan Bears,13942
8,9,레예스,24 P,5.06,26,26,0,0,0,0,11,4,0,0,144.0,61,65,62.55,617,159,21,3,15,30,7,0,114,5,0,4,3.81,4.06,3.91,3.72,4.26,1.31,5.06,https://statiz.sporki.com/data/team/ci/2024/1001.svg,Hanwha Eagles,15861
9,10,양현종,24 P,5.01,29,29,0,3,3,0,11,5,0,0,171.1,78,86,83.1,727,174,37,6,21,41,6,0,129,11,0,2,4.1,4.52,4.37,4.37,4.63,1.25,5.01,https://statiz.sporki.com/data/team/ci/2024/2002.svg,KIA Tigers,10058
10,11,곽빈,24 P,5.0,30,30,0,0,0,0,15,9,0,0,167.2,79,83,76.7,716,142,29,1,11,76,6,0,154,5,1,11,4.24,4.46,4.12,4.25,4.13,1.3,5.0,https://statiz.sporki.com/data/team/ci/2024/6002.svg,NC Dinos,13061
11,12,네일,24 P,4.9,26,26,0,0,0,0,12,5,0,0,149.1,42,69,67.3,642,154,27,1,11,35,9,0,138,17,1,3,2.53,4.16,4.06,4.04,3.68,1.27,4.9,https://statiz.sporki.com/data/team/ci/2024/2002.svg,KIA Tigers,16088
12,13,임찬규,24 P,4.46,25,24,1,0,0,0,10,6,0,1,134.0,57,58,56.1,577,144,29,1,12,42,5,1,136,0,0,1,3.83,3.9,3.77,3.94,3.79,1.39,4.46,https://statiz.sporki.com/data/team/ci/2024/5002.svg,Lotte Giants,10652
13,14,류현진,24 P,4.44,28,28,0,0,0,0,10,8,0,0,158.1,68,78,76.95,679,182,22,1,12,33,3,0,135,10,0,1,3.87,4.43,4.37,4.41,3.67,1.36,4.44,https://statiz.sporki.com/data/team/ci/2024/7002.svg,Samsung Lions,10590
14,15,엔스,24 P,4.33,30,30,0,0,0,0,13,6,0,0,167.2,78,84,83.65,714,169,29,3,16,50,6,0,157,9,0,4,4.19,4.51,4.49,4.64,4.03,1.31,4.33,https://statiz.sporki.com/data/team/ci/2024/5002.svg,Lotte Giants,16023
15,16,손주영,24 P,4.31,28,27,1,0,0,0,9,10,0,1,144.2,61,71,65.3,637,157,16,0,11,54,10,0,112,9,0,6,3.79,4.42,4.06,4.26,4.54,1.46,4.31,https://statiz.sporki.com/data/team/ci/2024/5002.svg,Lotte Giants,12908
16,17,엘리아스,24 P,4.09,22,21,1,0,0,0,7,7,0,0,123.2,56,59,55.9,525,126,14,0,13,30,6,0,104,10,0,3,4.08,4.29,4.07,3.92,4.25,1.26,4.09,https://statiz.sporki.com/data/team/ci/2024/9002.svg,SSG Landers,15644
17,18,박세웅,24 P,4.06,30,30,0,0,0,0,6,11,0,0,173.1,92,103,97.65,759,188,33,0,13,56,11,0,124,12,0,10,4.78,5.35,5.07,4.97,4.5,1.41,4.06,https://statiz.sporki.com/data/team/ci/2024/3001.svg,LG Twins,11310
18,19,엄상백,24 P,3.93,29,29,0,0,0,0,13,10,0,0,156.2,85,88,85.4,675,164,26,3,26,42,7,0,159,3,0,2,4.88,5.06,4.91,4.74,4.61,1.31,3.93,https://statiz.sporki.com/data/team/ci/2024/12001.svg,Doosan Bears,11318
19,20,앤더슨,24 P,3.86,24,23,1,0,0,0,11,3,0,0,115.2,50,55,53.8,496,98,13,1,11,53,8,0,158,4,1,5,3.89,4.28,4.19,3.93,3.55,1.31,3.86,https://statiz.sporki.com/data/team/ci/2024/9002.svg,SSG Landers,16146
