Rank,Name,Team,Sort,K%,BB%,BB/K,BABIP,IsoP,IsoD,R/ePA,wOBA,wRC,RC27,Own%,wRC+
1,이주헌,24 C,367.5,33.3,0.0,0.0,1.0,0.333,0.0,0.487,0.733,2.9,39.41,93.1,367.5
2,박영빈,24 LF,278.2,42.9,14.3,0.33,1.0,0.333,0.071,0.374,0.611,2.6,17.67,73.0,278.2
3,김민혁,24 DH,237.7,37.5,37.5,1.0,0.0,0.6,0.3,0.303,0.534,2.4,16.38,69.9,237.7
4,이호준,24 2B,214.0,14.3,14.3,1.0,0.4,0.5,0.096,0.307,0.538,2.1,14.49,64.5,214.0
5,제러드,24 RF,183.7,20.7,12.4,0.6,0.37,0.334,0.094,0.241,0.467,40.7,11.23,52.2,183.7
6,김도영,24 3B,172.5,17.6,10.6,0.6,0.375,0.3,0.073,0.232,0.457,144.9,10.38,48.2,172.5
7,김두현,24 SS,164.9,0.0,0.0,,0.4,0.0,0.1,0.229,0.454,1.4,12.37,57.0,164.9
8,구자욱,24 LF,162.3,12.9,9.7,0.75,0.346,0.284,0.074,0.228,0.452,128.3,10.13,47.0,162.3
9,강현우,24 C,161.1,27.8,22.2,0.8,0.467,0.154,0.163,0.216,0.439,7.8,10.48,48.7,161.1
10,전다민,24 LF,156.9,23.5,20.6,0.88,0.474,0.074,0.138,0.202,0.424,6.9,9.76,45.2,156.9
11,윤도현,24 2B,154.7,33.3,0.0,0.0,0.588,0.186,0.0,0.212,0.435,5.7,9.66,44.7,154.7
12,데이비슨,24 1B,153.9,25.0,6.9,0.27,0.334,0.327,0.064,0.203,0.425,115.1,8.4,37.9,153.9
13,로하스,24 RF,153.3,17.2,13.1,0.77,0.364,0.239,0.092,0.211,0.434,141.2,9.55,44.1,153.3
14,박건우,24 RF,150.1,14.9,9.1,0.61,0.38,0.198,0.065,0.198,0.42,71.7,8.77,39.9,150.1
15,송성문,24 3B,148.9,13.6,10.6,0.78,0.369,0.178,0.069,0.191,0.412,114.9,8.59,39.0,148.9
16,오스틴,24 1B,147.8,13.6,10.1,0.74,0.319,0.254,0.065,0.192,0.414,115.3,8.01,35.7,147.8
17,최정,24 3B,145.9,20.7,10.0,0.48,0.306,0.303,0.093,0.202,0.425,110.4,8.52,38.6,145.9
18,도슨,24 LF,145.9,12.6,9.1,0.72,0.361,0.178,0.069,0.187,0.408,80.1,8.01,35.7,145.9
19,카디네스,24 RF,145.5,24.0,4.0,0.17,0.375,0.334,0.027,0.21,0.433,5.3,7.88,35.0,145.5
20,홍창기,24 RF,142.3,14.6,15.1,1.03,0.398,0.074,0.111,0.185,0.406,117.3,8.51,38.5,142.3
21,여동건,24 2B,140.6,18.2,9.1,0.5,0.5,0.0,0.055,0.181,0.401,2.0,8.94,40.9,140.6
22,안중열,24 C,138.4,28.0,12.0,0.43,0.308,0.333,0.074,0.187,0.408,4.7,7.89,35.0,138.4
23,권희동,24 LF,137.9,12.3,15.1,1.22,0.326,0.152,0.117,0.182,0.403,93.0,8.13,36.4,137.9
