Rank,Name,Team,Sort,G,K/9,BB/9,K/BB,HR/9,K%,BB%,K-BB%,BABIP,LOB,ERA,RA9,rRA9,rRA9pf,FIP,xFIP,kwERA,ERA-FIP,ERA-,rRA9-,FIP-,AVG,OBP,SLG,OPS,NP,P/G,P/IP,P/PA
1,우규민,24 P,2.51,45,8.1,0.42,19.5,0.21,21.5,1.1,20.4,0.338,74.0,2.49,2.91,3.3,3.15,2.51,2.35,2.95,-0.02,49.38,56.56,50.54,0.272,0.283,0.353,0.636,695,15.4,16.0,3.84
2,브랜든,24 P,2.8,14,9.0,1.32,6.82,0.36,23.8,3.5,20.3,0.33,65.1,3.12,4.08,3.81,3.96,2.8,2.4,2.96,0.32,65.46,75.37,59.6,0.257,0.289,0.339,0.628,1274,91.0,17.0,4.04
3,크로우,24 P,3.05,8,9.6,2.68,3.58,0.45,25.0,7.0,18.0,0.342,68.6,3.57,4.24,4.02,4.21,3.05,2.53,3.24,0.52,72.41,77.48,62.79,0.259,0.314,0.342,0.656,710,88.8,17.6,4.13
4,유영찬,24 P,3.06,62,10.89,4.24,2.57,0.28,26.9,10.5,16.4,0.343,76.9,2.97,3.39,5.02,5.22,3.06,2.78,3.43,-0.09,62.28,99.22,65.22,0.246,0.331,0.331,0.662,1105,17.8,17.4,3.86
5,정동윤,24 P,3.06,3,10.8,5.4,2.0,0.0,28.6,14.3,14.3,0.25,100.0,0.0,0.0,1.89,1.76,3.06,3.1,3.69,-3.06,0.0,31.12,60.63,0.167,0.286,0.167,0.453,32,10.7,19.2,4.57
6,하트,24 P,3.1,26,10.43,2.18,4.79,0.63,28.8,6.0,22.8,0.293,77.2,2.69,2.92,2.92,3.0,3.1,2.35,2.66,-0.41,55.74,56.24,65.23,0.215,0.275,0.303,0.578,2465,94.8,15.7,3.91
7,김택연,24 P,3.19,60,10.8,4.29,2.52,0.28,28.2,11.2,17.0,0.314,83.1,2.08,2.35,2.62,2.67,3.19,2.92,3.36,-1.11,43.58,50.88,67.95,0.216,0.317,0.288,0.605,1238,20.6,19.0,4.47
8,발라조빅,24 P,3.22,12,10.9,4.42,2.46,0.47,27.6,11.2,16.4,0.343,68.8,4.26,4.58,4.42,4.67,3.22,2.89,3.43,1.04,89.44,88.89,68.7,0.248,0.337,0.358,0.695,1067,88.9,18.7,4.27
9,김영규,24 P,3.37,42,9.46,2.76,3.43,0.59,26.2,7.7,18.6,0.322,70.6,3.15,3.74,3.39,3.53,3.37,2.67,3.17,-0.22,65.24,66.3,70.89,0.244,0.304,0.323,0.627,734,17.5,16.1,4.01
10,박성빈,24 P,3.38,3,7.71,0.0,,0.0,22.2,0.0,22.2,0.167,100.0,0.0,0.0,0.0,0.0,3.38,3.53,2.73,-3.38,0.0,0.0,67.08,0.125,0.222,0.125,0.347,28,9.3,12.0,3.11
11,정현수,24 P,3.39,18,9.51,4.56,2.08,0.0,24.0,11.5,12.5,0.328,64.7,4.56,4.56,4.09,3.85,3.39,3.49,3.9,1.17,87.93,67.25,66.42,0.235,0.34,0.318,0.658,425,23.6,18.0,4.09
