,Unnamed: 0.1,Unnamed: 0,Rank_x,Name,Team_x,WAR,G,GS,GR,GF,CG,SHO,W,L,S,HD,IP,ER,R,rRA,TBF,H,2B,3B,HR,BB,HP,IB,SO,ROE,BK,WP,ERA_x,RA9_x,rRA9_x,rRA9pf_x,FIP_x,WHIP,WAR.1,image_url,team,player_id,play_type,Rank_y,Team_y,FIP_y,K/9,BB/9,K/BB,HR/9,K%,BB%,K-BB%,BABIP,LOB,ERA_y,RA9_y,rRA9_y,rRA9pf_y,FIP_y.1,xFIP,kwERA,ERA-FIP,ERA-,rRA9-,FIP-,AVG,OBP,SLG,OPS,NP,P/G,P/IP,P/PA,ID,Pit_side
0,0,0,1,하트,24 P,6.93,26,26,0,0,0,0,13,3,0,0,157.0,47,51,51.0,631,124,16,1,11,38,11,0,182,7,0,2,2.69,2.92,2.92,3.0,3.1,1.03,6.93,https://statiz.sporki.com/data/team/ci/2024/11001.svg,KT Wiz,16065,좌투좌타,6,24 P,3.1,10.43,2.18,4.79,0.63,28.8,6.0,22.8,0.293,77.2,2.69,2.92,2.92,3.0,3.1,2.35,2.66,-0.41,55.74,56.24,65.23,0.215,0.275,0.303,0.578,2465,94.8,15.7,3.91,16065,Left
1,1,1,2,윌커슨,24 P,6.81,32,32,0,1,1,1,12,8,0,0,196.2,84,90,88.8,816,210,37,3,18,27,2,0,167,13,0,3,3.84,4.12,4.06,3.91,3.62,1.21,6.81,https://statiz.sporki.com/data/team/ci/2024/3001.svg,LG Twins,12295,우투우타,20,24 P,3.62,7.64,1.24,6.19,0.82,20.5,3.3,17.2,0.321,69.6,3.84,4.12,4.06,3.91,3.62,2.65,3.34,0.22,74.07,68.26,70.93,0.27,0.294,0.394,0.688,3124,97.6,15.9,3.83,12295,Right
2,2,2,3,후라도,24 P,6.61,30,30,0,0,0,0,10,8,0,0,190.1,71,78,76.95,779,185,27,4,19,32,9,0,169,12,1,3,3.36,3.69,3.64,3.78,3.84,1.14,6.61,https://statiz.sporki.com/data/team/ci/2024/10001.svg,Kiwoom Heroes,15531,우투우타,34,24 P,3.84,7.99,1.51,5.28,0.9,21.7,4.1,17.6,0.306,74.4,3.36,3.69,3.64,3.78,3.84,2.73,3.29,-0.48,71.44,72.92,82.93,0.254,0.293,0.381,0.674,2894,96.5,15.2,3.72,15531,Right
3,3,3,4,반즈,24 P,6.43,25,25,0,0,0,0,9,6,0,0,150.2,56,59,55.9,624,140,17,4,18,46,5,0,171,8,0,6,3.35,3.52,3.34,3.18,3.83,1.23,6.43,https://statiz.sporki.com/data/team/ci/2024/3001.svg,LG Twins,15011,좌투좌타,33,24 P,3.83,10.22,2.75,3.72,1.08,27.4,7.4,20.0,0.322,79.5,3.35,3.52,3.34,3.18,3.83,2.49,3.0,-0.49,64.45,55.61,75.05,0.248,0.309,0.388,0.697,2396,95.8,15.9,3.84,15011,Left
4,4,4,5,코너,24 P,5.95,28,28,0,1,1,1,11,6,0,0,160.0,61,67,65.45,663,135,17,3,21,40,19,0,158,4,0,9,3.43,3.77,3.68,3.54,4.44,1.09,5.95,https://statiz.sporki.com/data/team/ci/2024/1001.svg,Hanwha Eagles,15860,우투우타,70,24 P,4.44,8.89,2.25,3.95,1.18,23.8,6.0,17.8,0.27,77.0,3.43,3.77,3.68,3.54,4.44,2.98,3.26,-1.0,65.9,61.72,86.57,0.226,0.293,0.37,0.663,2604,93.0,16.3,3.93,15860,Right
5,5,5,6,원태인,24 P,5.87,28,28,0,1,1,0,15,6,0,0,159.2,65,68,67.3,670,150,29,3,17,42,7,1,119,5,0,3,3.66,3.83,3.79,3.58,4.55,1.2,5.87,https://statiz.sporki.com/data/team/ci/2024/1001.svg,Hanwha Eagles,14113,우투우타,78,24 P,4.55,6.71,2.37,2.83,0.96,17.8,6.3,11.5,0.278,74.9,3.66,3.83,3.79,3.58,4.55,3.39,4.02,-0.89,70.37,62.33,88.89,0.245,0.3,0.385,0.685,2693,96.2,16.9,4.02,14113,Right
6,6,6,7,헤이수스,24 P,5.09,30,30,0,0,0,0,13,11,0,0,171.1,70,78,75.75,728,171,31,2,22,44,14,1,178,8,1,6,3.68,4.1,3.98,4.24,4.11,1.25,5.09,https://statiz.sporki.com/data/team/ci/2024/10001.svg,Kiwoom Heroes,16138,좌투좌타,45,24 P,4.11,9.35,2.31,4.05,1.16,24.5,6.0,18.4,0.318,76.3,3.68,4.1,3.98,4.24,4.11,2.75,3.19,-0.43,78.24,81.84,88.88,0.258,0.316,0.41,0.726,2832,94.4,16.5,3.89,16138,Left
7,7,7,8,쿠에바스,24 P,5.06,31,31,0,0,0,0,7,12,0,0,173.1,79,86,86.0,737,158,36,3,17,59,7,4,154,11,1,11,4.1,4.47,4.47,4.34,4.25,1.25,5.06,https://statiz.sporki.com/data/team/ci/2024/12001.svg,Doosan Bears,13942,우투우타,56,24 P,4.25,8.0,3.06,2.61,0.88,20.9,8.0,12.9,0.285,69.0,4.1,4.47,4.47,4.34,4.25,3.2,3.85,-0.15,81.28,78.01,85.66,0.24,0.306,0.381,0.687,2856,92.1,16.5,3.88,13942,Right
8,8,8,9,레예스,24 P,5.06,26,26,0,0,0,0,11,4,0,0,144.0,61,65,62.55,617,159,21,3,15,30,7,0,114,5,0,4,3.81,4.06,3.91,3.72,4.26,1.31,5.06,https://statiz.sporki.com/data/team/ci/2024/1001.svg,Hanwha Eagles,15861,우투우타,57,24 P,4.26,7.13,1.88,3.8,0.94,18.5,4.9,13.6,0.323,74.9,3.81,4.06,3.91,3.72,4.26,3.12,3.77,-0.44,73.22,64.8,83.07,0.278,0.32,0.404,0.724,2429,93.4,16.9,3.94,15861,Right
9,9,9,10,양현종,24 P,5.01,29,29,0,3,3,0,11,5,0,0,171.1,78,86,83.1,727,174,37,6,21,41,6,0,129,11,0,2,4.1,4.52,4.37,4.37,4.63,1.25,5.01,https://statiz.sporki.com/data/team/ci/2024/2002.svg,KIA Tigers,10058,좌투좌타,89,24 P,4.63,6.78,2.15,3.15,1.1,17.7,5.6,12.1,0.29,70.3,4.1,4.52,4.37,4.37,4.63,3.28,3.95,-0.53,83.1,80.38,95.35,0.257,0.305,0.422,0.727,2620,90.3,15.3,3.6,10058,Left
10,10,10,11,곽빈,24 P,5.0,30,30,0,0,0,0,15,9,0,0,167.2,79,83,76.7,716,142,29,1,11,76,6,0,154,5,1,11,4.24,4.46,4.12,4.25,4.13,1.3,5.0,https://statiz.sporki.com/data/team/ci/2024/6002.svg,NC Dinos,13061,우투우타,47,24 P,4.13,8.27,4.08,2.03,0.59,21.5,10.6,10.9,0.281,67.5,4.24,4.46,4.12,4.25,4.13,3.52,4.09,0.11,88.97,80.83,88.03,0.229,0.315,0.332,0.647,2892,96.4,17.2,4.04,13061,Right
11,11,11,12,네일,24 P,4.9,26,26,0,0,0,0,12,5,0,0,149.1,42,69,67.3,642,154,27,1,11,35,9,0,138,17,1,3,2.53,4.16,4.06,4.04,3.68,1.27,4.9,https://statiz.sporki.com/data/team/ci/2024/2002.svg,KIA Tigers,16088,우투우타,26,24 P,3.68,8.32,2.11,3.94,0.66,21.5,5.5,16.0,0.321,70.5,2.53,4.16,4.06,4.04,3.68,2.88,3.47,-1.15,51.34,74.39,75.83,0.259,0.31,0.364,0.674,2398,92.2,16.1,3.74,16088,Right
12,12,12,13,임찬규,24 P,4.46,25,24,1,0,0,0,10,6,0,1,134.0,57,58,56.1,577,144,29,1,12,42,5,1,136,0,0,1,3.83,3.9,3.77,3.94,3.79,1.39,4.46,https://statiz.sporki.com/data/team/ci/2024/5002.svg,Lotte Giants,10652,우투우타,30,24 P,3.79,9.13,2.82,3.24,0.81,23.6,7.3,16.3,0.348,76.4,3.83,3.9,3.77,3.94,3.79,2.82,3.45,0.04,80.32,74.95,80.85,0.276,0.333,0.404,0.737,2225,89.0,16.6,3.86,10652,Right
13,13,13,14,류현진,24 P,4.44,28,28,0,0,0,0,10,8,0,0,158.1,68,78,76.95,679,182,22,1,12,33,3,0,135,10,0,1,3.87,4.43,4.37,4.41,3.67,1.36,4.44,https://statiz.sporki.com/data/team/ci/2024/7002.svg,Samsung Lions,10590,좌투우타,25,24 P,3.67,7.67,1.88,4.09,0.68,19.9,4.9,15.0,0.346,69.7,3.87,4.43,4.37,4.41,3.67,2.87,3.6,0.19,78.2,80.84,75.54,0.287,0.323,0.381,0.704,2599,92.8,16.4,3.83,10590,Left
14,14,14,15,엔스,24 P,4.33,30,30,0,0,0,0,13,6,0,0,167.2,78,84,83.65,714,169,29,3,16,50,6,0,157,9,0,4,4.19,4.51,4.49,4.64,4.03,1.31,4.33,https://statiz.sporki.com/data/team/ci/2024/5002.svg,Lotte Giants,16023,좌투좌타,43,24 P,4.03,8.43,2.68,3.14,0.86,22.0,7.0,15.0,0.321,69.5,4.19,4.51,4.49,4.64,4.03,2.99,3.6,0.16,87.84,88.25,85.91,0.263,0.319,0.392,0.711,2906,96.9,17.3,4.07,16023,Left
