,ID,Name,Team,PA,AVG,OBP,SLG,K%,BB%,Bat_side
0,15056,김도영,KIA Tigers,625,0.347,0.42,0.647,17.6,10.6,Right
1,12995,로하스,Doosan Bears,670,0.329,0.421,0.568,17.2,13.1,Both
2,11376,송성문,Kiwoom Heroes,602,0.34,0.409,0.518,13.6,10.6,Left
3,10892,구자욱,Hanwha Eagles,568,0.343,0.417,0.627,12.9,9.7,Left
4,12905,김혜성,Kiwoom Heroes,567,0.326,0.383,0.458,10.9,8.3,Left
5,15532,오스틴,Lotte Giants,604,0.319,0.384,0.573,13.6,10.1,Right
6,12546,홍창기,Lotte Giants,637,0.336,0.447,0.41,14.6,15.1,Left
7,11137,박민우,KT Wiz,528,0.328,0.406,0.446,15.0,10.2,Left
8,10106,최정,SSG Landers,550,0.291,0.384,0.594,20.7,10.0,Right
9,15530,에레디아,SSG Landers,591,0.36,0.399,0.538,12.4,4.7,Right
10,10387,박동원,Lotte Giants,498,0.272,0.349,0.461,22.5,11.0,Right
11,14137,문보경,Lotte Giants,602,0.301,0.372,0.507,18.6,10.8,Left
12,14618,김지찬,Hanwha Eagles,535,0.316,0.405,0.384,7.5,11.2,Left
13,16066,데이비슨,KT Wiz,567,0.306,0.37,0.633,25.0,6.9,Right
14,11172,권희동,KT Wiz,511,0.3,0.417,0.452,12.3,15.1,Right
15,14765,김주원,KT Wiz,475,0.252,0.371,0.379,23.4,10.7,Both
16,11087,강승호,NC Dinos,566,0.28,0.328,0.476,27.9,5.7,Right
17,12922,박성한,SSG Landers,564,0.301,0.38,0.411,15.2,11.3,Left
18,14996,소크라테스,KIA Tigers,602,0.31,0.359,0.516,15.1,6.8,Left
19,16106,레이예스,LG Twins,632,0.352,0.394,0.51,13.0,7.3,Both
20,10232,강민호,Hanwha Eagles,452,0.303,0.365,0.496,11.5,7.7,Right
21,10235,장성우,Doosan Bears,489,0.268,0.355,0.45,17.6,12.3,Right
22,10165,양의지,NC Dinos,485,0.314,0.379,0.479,11.5,8.2,Right
23,10184,허경민,NC Dinos,477,0.309,0.384,0.427,5.2,7.5,Right
24,15652,도슨,Kiwoom Heroes,429,0.33,0.399,0.508,12.6,9.1,Left
25,15048,윤동희,LG Twins,613,0.293,0.376,0.453,18.6,10.9,Right
26,10643,김재환,NC Dinos,552,0.283,0.368,0.525,30.4,11.4,Left
27,14160,고승민,LG Twins,532,0.308,0.358,0.476,14.7,7.7,Left
28,15034,이재현,Hanwha Eagles,458,0.26,0.365,0.419,18.1,12.7,Right
29,10475,오지환,Lotte Giants,428,0.254,0.35,0.411,24.8,11.9,Left
30,10195,정수빈,NC Dinos,608,0.284,0.376,0.361,11.8,11.7,Left
31,11261,박찬호,KIA Tigers,577,0.307,0.363,0.386,7.6,8.3,Right
32,10189,박건우,KT Wiz,362,0.344,0.409,0.542,14.9,9.1,Right
33,13056,신민재,Lotte Giants,474,0.297,0.401,0.357,9.9,13.5,Left
34,14125,노시환,Samsung Lions,601,0.272,0.356,0.454,21.5,10.0,Right
35,13112,문성주,Lotte Giants,361,0.315,0.411,0.38,10.5,13.6,Left
36,10008,김선빈,KIA Tigers,466,0.329,0.38,0.447,8.4,6.4,Right
37,14642,황성빈,LG Twins,406,0.32,0.375,0.437,13.8,7.6,Left
38,15035,김영웅,Hanwha Eagles,509,0.252,0.321,0.485,30.5,8.8,Left
39,14785,김휘집,KT Wiz,562,0.258,0.337,0.41,21.2,9.3,Right
40,14797,나승엽,LG Twins,489,0.312,0.411,0.469,17.0,14.1,Left
41,14590,손호영,LG Twins,430,0.317,0.354,0.538,15.1,4.0,Right
42,11339,김민혁,Doosan Bears,393,0.353,0.41,0.419,11.5,8.9,Left
43,12534,최원준,KIA Tigers,508,0.292,0.371,0.42,13.0,9.8,Left
44,11213,양석환,NC Dinos,593,0.246,0.316,0.488,21.6,8.3,Right
45,16121,페라자,Samsung Lions,522,0.275,0.364,0.486,24.7,12.1,Both
46,13168,강백호,Doosan Bears,614,0.289,0.36,0.48,20.7,9.6,Left
47,11190,박해민,Lotte Giants,553,0.263,0.336,0.359,18.3,8.3,Left
48,14591,이주형,Kiwoom Heroes,537,0.266,0.352,0.402,22.2,9.1,Left
49,10320,김상수,Doosan Bears,420,0.276,0.351,0.379,14.0,8.8,Right
