,Pitcher_id,Batter_id,PA,AVG
0,16065,10106,12,0.0
1,16065,16128,13,0.0
2,16065,14591,12,0.091
3,16065,11087,8,0.125
4,16065,10232,5,0.2
5,16065,14124,7,0.2
6,16065,14618,6,0.0
7,16065,16038,9,0.0
8,16065,14807,7,0.143
9,16065,14863,3,0.0
10,16065,10182,9,0.111
11,16065,10470,2,0.0
12,16065,10870,9,0.125
13,16065,14888,3,0.0
14,16065,12922,8,0.143
15,16065,15035,8,0.25
16,16065,14996,8,0.0
17,16065,13168,5,0.0
18,16065,14125,6,0.0
19,16065,10475,3,0.0
20,16065,15862,6,0.2
21,16065,12549,5,0.2
22,16065,12546,6,0.2
23,16065,10344,6,0.0
24,16065,10170,6,0.0
25,16065,13145,2,0.0
26,16065,10804,2,0.0
27,16065,10266,3,0.0
28,16065,10312,9,0.222
29,16065,12905,6,0.167
30,16065,15048,3,0.0
31,16065,11422,2,0.0
32,16065,14777,2,0.0
33,16065,15132,5,0.0
34,16065,14796,2,0.0
35,16065,15000,6,0.2
36,16065,10108,3,0.0
37,16065,10174,2,0.0
38,16065,11414,6,0.333
39,16065,10643,6,0.167
40,16065,16106,3,0.333
41,16065,10320,2,0.0
42,16065,14784,4,0.0
43,16065,10636,5,0.2
44,16065,12613,2,0.0
45,16065,15036,1,0.0
46,16065,11347,3,0.0
47,16065,15476,2,0.0
48,16065,10165,9,0.333
49,16065,12583,2,0.0
50,16065,15499,1,0.0
51,16065,14170,2,0.0
52,16065,11261,12,0.25
53,16065,11212,4,0.0
54,16065,15484,4,0.0
55,16065,12545,1,0.0
56,16065,10035,2,0.0
57,16065,12894,6,0.2
58,16065,13137,2,0.0
59,16065,12585,6,0.167
60,16065,14577,2,0.0
61,16065,10407,5,0.2
62,16065,15092,1,0.0
63,16065,15868,1,0.0
64,16065,11244,2,0.0
65,16065,10684,1,0.0
66,16065,10184,6,0.2
67,16065,12516,2,0.0
68,16065,12988,1,0.0
69,16065,11376,12,0.182
70,16065,14707,1,1.0
71,16065,13112,6,0.5
72,16065,13223,3,0.333
73,16065,10640,8,0.286
74,16065,14140,7,0.2
75,16065,11339,2,0.5
76,16065,10008,10,0.0
77,16065,14680,1,0.0
78,16065,10253,3,0.333
79,16065,10894,3,0.333
80,16065,14590,3,0.333
81,16065,16136,1,0.0
82,16065,14587,5,0.2
83,16065,10187,9,0.25
84,16065,13056,4,0.25
85,16065,10815,12,0.1
86,16065,10014,6,0.4
87,16065,14785,3,0.333
88,16065,10235,5,0.5
89,16065,11099,7,0.286
90,16065,11334,3,0.5
91,16065,15532,8,0.143
92,16065,11215,3,0.667
93,16065,15652,9,0.333
94,16065,12995,5,0.5
95,16065,11213,9,0.375
96,16065,10459,9,0.25
97,16065,16110,7,0.429
98,16065,12562,5,0.2
99,16065,15530,9,0.375
100,16065,10238,3,0.333
101,16065,11333,5,0.2
102,16065,14147,11,0.364
103,16065,15472,4,0.333
104,16065,10195,10,0.111
105,16065,12524,3,0.0
106,16065,16121,3,0.667
107,16065,12522,3,0.333
108,16065,16158,3,0.333
109,16065,13138,3,0.667
110,16065,12534,7,0.167
111,16065,11162,8,0.286
112,16065,14117,4,0.5
113,16065,10387,6,0.5
114,16065,11233,7,0.6
115,16065,15056,11,0.6
116,16065,11190,7,0.286
117,16065,10249,5,0.5
118,16065,10892,9,0.5
119,16065,15034,9,0.556
120,16065,14137,8,0.5
121,12295,12546,18,0.0
122,12295,14618,11,0.1
123,12295,14888,6,0.0
124,12295,10344,7,0.0
125,12295,11153,13,0.077
126,12295,15422,10,0.0
127,12295,11215,18,0.188
128,12295,14716,3,0.333
129,12295,12549,5,0.0
130,12295,15532,15,0.143
131,12295,15000,9,0.111
132,12295,10261,5,0.0
133,12295,10195,7,0.143
134,12295,14591,7,0.143
135,12295,10312,8,0.25
136,12295,11137,16,0.188
137,12295,10475,9,0.333
138,12295,12583,13,0.154
139,12295,14707,6,0.0
140,12295,12560,3,0.0
141,12295,10235,9,0.222
142,12295,14221,6,0.167
143,12295,10407,4,0.0
144,12295,14137,14,0.154
145,12295,15476,1,0.0
146,12295,12524,3,0.0
147,12295,14612,3,0.0
148,12295,10643,7,0.143
149,12295,12869,2,0.0
150,12295,11087,8,0.25
151,12295,15484,6,0.167
152,12295,15499,5,0.2
153,12295,10470,3,0.0
154,12295,14699,2,0.0
155,12295,11244,2,0.0
156,12295,16043,3,0.0
157,12295,12894,2,0.0
158,12295,10035,3,0.0
159,12295,10636,2,0.0
160,12295,16124,2,0.0
161,12295,15868,2,0.5
162,12295,15862,5,0.2
163,12295,10640,4,0.25
164,12295,14765,4,0.0
165,12295,13056,8,0.143
166,12295,11333,6,0.0
167,12295,10189,5,0.2
168,12295,11397,2,0.0
169,12295,12988,2,0.0
170,12295,14785,9,0.25
171,12295,11261,8,0.25
172,12295,14783,3,0.333
173,12295,12562,2,0.0
174,12295,13223,2,0.5
175,12295,14996,6,0.167
176,12295,11233,1,0.0
177,12295,10170,9,0.222
178,12295,15034,7,0.286
179,12295,15035,8,0.143
180,12295,14147,2,0.0
181,12295,16110,10,0.2
182,12295,16038,3,0.333
183,12295,12995,9,0.333
184,12295,13113,6,0.333
185,12295,10840,2,0.5
186,12295,10400,3,0.333
187,12295,10008,3,0.333
188,12295,16136,2,0.5
189,12295,14867,1,0.0
190,12295,12936,3,0.667
191,12295,12589,1,0.0
192,12295,15472,5,0.4
193,12295,16042,2,0.5
194,12295,15652,3,0.0
195,12295,16162,3,0.333
196,12295,10913,2,0.5
197,12295,10187,12,0.4
198,12295,13261,3,0.333
199,12295,10082,4,0.25
200,12295,11414,12,0.333
201,12295,10249,3,0.333
202,12295,16072,2,0.5
203,12295,14117,2,0.5
204,12295,10184,6,0.2
205,12295,12943,2,0.5
206,12295,13112,10,0.4
207,12295,14606,3,0.333
208,12295,10891,3,0.667
209,12295,15056,8,0.5
210,12295,11162,8,0.25
211,12295,14125,18,0.313
212,12295,11376,6,0.333
213,12295,10182,5,0.4
214,12295,15036,2,0.5
215,12295,14706,2,0.0
