,ID,Name,Team,TBF,AVG,OBP,SLG,K%,BB%,Pit_side
0,16065,하트,KT Wiz,631,0.215,0.275,0.303,28.8,6.0,Left
1,12295,윌커슨,LG Twins,816,0.27,0.294,0.394,20.5,3.3,Right
2,15531,후라도,Kiwoom Heroes,779,0.254,0.293,0.381,21.7,4.1,Right
3,15011,반즈,LG Twins,624,0.248,0.309,0.388,27.4,7.4,Left
4,15860,코너,Hanwha Eagles,663,0.226,0.293,0.37,23.8,6.0,Right
5,14113,원태인,Hanwha Eagles,670,0.245,0.3,0.385,17.8,6.3,Right
6,16138,헤이수스,Kiwoom Heroes,728,0.258,0.316,0.41,24.5,6.0,Left
7,13942,쿠에바스,Doosan Bears,737,0.24,0.306,0.381,20.9,8.0,Right
8,15861,레예스,Hanwha Eagles,617,0.278,0.32,0.404,18.5,4.9,Right
9,10058,양현종,KIA Tigers,727,0.257,0.305,0.422,17.7,5.6,Left
10,13061,곽빈,NC Dinos,716,0.229,0.315,0.332,21.5,10.6,Right
11,16088,네일,KIA Tigers,642,0.259,0.31,0.364,21.5,5.5,Right
12,10652,임찬규,Lotte Giants,577,0.276,0.333,0.404,23.6,7.3,Right
13,10590,류현진,Samsung Lions,679,0.287,0.323,0.381,19.9,4.9,Left
14,16023,엔스,Lotte Giants,714,0.263,0.319,0.392,22.0,7.0,Left
15,12908,손주영,Lotte Giants,637,0.279,0.35,0.367,17.6,8.5,Left
16,15644,엘리아스,SSG Landers,525,0.265,0.315,0.376,19.8,5.7,Left
17,11310,박세웅,LG Twins,759,0.275,0.337,0.38,16.3,7.4,Right
18,11318,엄상백,Doosan Bears,675,0.266,0.318,0.445,23.6,6.2,Right
19,16146,앤더슨,SSG Landers,496,0.227,0.322,0.338,31.9,10.7,Right
20,10126,김광현,SSG Landers,709,0.26,0.342,0.423,21.7,10.3,Left
21,11379,최원태,Lotte Giants,554,0.263,0.342,0.371,18.6,10.3,Right
22,11222,하영민,Kiwoom Heroes,671,0.28,0.345,0.396,15.1,8.6,Right
23,16067,김택연,NC Dinos,277,0.216,0.317,0.288,28.2,11.2,Right
24,15143,벤자민,Doosan Bears,639,0.244,0.305,0.447,24.4,7.5,Left
25,13085,신민혁,KT Wiz,524,0.284,0.312,0.467,14.1,3.1,Right
26,11415,주현상,Samsung Lions,267,0.206,0.232,0.36,24.0,3.0,Right
27,10203,노경은,SSG Landers,350,0.232,0.308,0.369,20.3,9.1,Right
28,16153,와이스,Samsung Lions,384,0.223,0.286,0.358,25.5,7.6,Right
29,15089,박영현,Doosan Bears,310,0.22,0.275,0.378,28.1,7.1,Right
30,14798,이승현,Hanwha Eagles,384,0.264,0.345,0.384,17.7,9.6,Left
31,14581,오원석,SSG Landers,550,0.261,0.365,0.404,20.4,11.8,Left
32,15153,브랜든,NC Dinos,315,0.257,0.289,0.339,23.8,3.5,Left
