Pitcher_id,Batter_id,PA,ePA,AB,R,H,2B,3B,HR,TB,RBI,BB,HP,IB,SO,GDP,SH,SF,AVG,OBP,SLG,OPS,NP,avLI,RE24,WPA
16065,10106,12,12,11,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0.000,0.083,0.000,0.083,37,0.86,0.98,0.268
16065,16128,13,13,11,0,0,0,0,0,0,0,2,0,0,4,0,0,0,0.000,0.154,0.000,0.154,55,0.82,3.94,0.244
16065,14591,12,12,11,0,1,0,0,0,1,0,0,1,0,4,0,0,0,0.091,0.167,0.091,0.258,42,0.81,0.64,0.229
16065,11087,8,8,8,0,1,1,0,0,2,0,0,0,0,5,0,0,0,0.125,0.125,0.250,0.375,23,1.10,0.84,0.204
16065,10232,5,5,5,0,1,1,0,0,2,0,0,0,0,2,0,0,0,0.200,0.200,0.400,0.600,18,2.01,1.37,0.197
16065,14124,7,7,5,0,1,0,0,0,1,0,1,1,0,1,2,0,0,0.200,0.429,0.200,0.629,26,1.13,1.79,0.174
16065,14618,6,6,6,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0.000,0.000,0.000,0.000,19,1.11,1.82,0.171
16065,16038,9,8,8,0,0,0,0,0,0,0,0,0,0,3,0,1,0,0.000,0.000,0.000,0.000,31,1.01,2.17,0.169
16065,14807,7,7,7,0,1,0,0,0,1,0,0,0,0,2,0,0,0,0.143,0.143,0.143,0.286,23,1.05,1.64,0.165
16065,14863,3,3,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.000,0.000,0.000,0.000,12,2.13,1.74,0.161
16065,10182,9,9,9,0,1,0,0,0,1,0,0,0,0,3,0,0,0,0.111,0.111,0.111,0.222,26,0.95,2.10,0.160
16065,10470,2,2,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.000,0.000,0.000,0.000,5,1.64,1.45,0.157
16065,10870,9,8,8,1,1,0,0,0,1,1,0,0,0,1,0,1,0,0.125,0.125,0.125,0.250,24,0.90,1.34,0.153
16065,14888,3,3,3,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0.000,0.000,0.000,0.000,13,1.22,1.31,0.151
16065,12922,8,8,7,0,1,0,0,0,1,0,0,1,0,2,0,0,0,0.143,0.250,0.143,0.393,31,0.82,1.19,0.144
16065,15035,8,8,8,0,2,0,0,0,2,0,0,0,0,2,0,0,0,0.250,0.250,0.250,0.500,25,1.27,1.12,0.144
16065,14996,8,8,8,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0.000,0.000,0.000,0.000,24,0.68,2.20,0.134
16065,13168,5,5,5,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0.000,0.000,0.000,0.000,18,1.09,0.83,0.133
16065,14125,6,6,6,1,0,0,0,0,0,1,0,0,0,2,0,0,0,0.000,0.000,0.000,0.000,18,0.97,1.62,0.129
16065,10475,3,3,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.000,0.000,0.000,0.000,7,1.45,1.14,0.120
16065,15862,6,6,5,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0.200,0.333,0.200,0.533,30,1.35,1.57,0.119
16065,12549,5,5,5,0,1,0,0,0,1,0,0,0,0,2,0,0,0,0.200,0.200,0.200,0.400,21,1.24,0.97,0.116
16065,12546,6,6,5,0,1,0,0,0,1,0,1,0,0,1,0,0,0,0.200,0.333,0.200,0.533,23,0.99,1.06,0.099
16065,10344,6,6,6,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0.000,0.000,0.000,0.000,33,0.63,1.35,0.098
16065,10170,6,6,5,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0.000,0.167,0.000,0.167,26,0.95,1.24,0.097
16065,13145,2,2,2,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0.000,0.000,0.000,0.000,11,1.41,1.08,0.091
16065,10804,2,2,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.000,0.000,0.000,0.000,4,1.36,0.95,0.088
16065,10266,3,3,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.000,0.000,0.000,0.000,16,1.09,0.84,0.085
16065,10312,9,9,9,1,2,0,0,0,2,1,0,0,0,1,1,0,0,0.222,0.222,0.222,0.444,26,1.06,0.77,0.082
16065,12905,6,6,6,0,1,0,0,0,1,0,0,0,0,4,0,0,0,0.167,0.167,0.167,0.334,28,0.76,1.48,0.079
16065,15048,3,3,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.000,0.000,0.000,0.000,12,1.03,0.88,0.079
16065,11422,2,2,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.000,0.000,0.000,0.000,12,1.40,0.75,0.076
16065,14777,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000,9,1.59,0.92,0.076
16065,15132,5,5,4,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0.000,0.200,0.000,0.200,15,0.81,1.11,0.070
16065,14796,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000,3,1.17,0.64,0.064
16065,15000,6,6,5,0,1,1,0,0,2,0,1,0,0,0,1,0,0,0.200,0.333,0.400,0.733,22,0.87,1.09,0.062
16065,10108,3,3,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.000,0.000,0.000,0.000,9,0.83,0.68,0.062
16065,10174,2,2,2,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0.000,0.000,0.000,0.000,11,1.30,0.64,0.061
16065,11414,6,6,6,0,2,0,0,0,2,0,0,0,0,3,0,0,0,0.333,0.333,0.333,0.666,27,0.92,0.62,0.060
16065,10643,6,6,6,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0.167,0.167,0.167,0.334,20,1.01,1.11,0.059
16065,16106,3,3,3,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0.333,0.333,0.333,0.666,7,0.74,0.61,0.058
16065,10320,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000,5,1.39,0.84,0.057
16065,14784,4,4,3,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0.000,0.250,0.000,0.250,17,0.64,0.40,0.056
16065,10636,5,5,5,0,1,0,0,0,1,0,0,0,0,3,0,0,0,0.200,0.200,0.200,0.400,33,0.79,0.49,0.055
