statiz_2024_batting,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rank,Name,Team,Sort▼,G,oWAR,dWAR,PA,ePA,AB,R,H,2B,3B,HR,TB,RBI,SB,CS,BB,HP,IB,SO,GDP,SH,SF,AVG,OBP,SLG,OPS,R/ePA,wRC+,WAR▼,image_url,team
1,김도영,24 3B,8.32,141,8.51,-0.18,625,619,544,143,189,29,10,38,352,109,40,4,66,7,7,110,10,1,7,0.347,0.42,0.647,1.067,0.232,172.5,8.32,https://statiz.sporki.com/data/team/ci/2024/2002.svg,KIA Tigers
2,로하스,24 RF,6.5,144,6.34,0.16,670,664,572,108,188,39,1,32,325,112,2,1,88,6,9,115,10,0,4,0.329,0.421,0.568,0.989,0.211,153.3,6.5,https://statiz.sporki.com/data/team/ci/2024/12001.svg,Doosan Bears
3,송성문,24 3B,6.13,142,5.83,0.29,602,601,527,88,179,29,4,19,273,104,21,0,64,3,2,82,5,0,8,0.34,0.409,0.518,0.927,0.191,148.9,6.13,https://statiz.sporki.com/data/team/ci/2024/10001.svg,Kiwoom Heroes
4,구자욱,24 LF,5.69,129,5.61,0.08,568,563,493,92,169,39,1,33,309,115,13,4,55,12,4,73,6,2,6,0.343,0.417,0.627,1.044,0.228,162.3,5.69,https://statiz.sporki.com/data/team/ci/2024/1001.svg,Hanwha Eagles
5,김혜성,24 2B,5.16,127,4.47,0.69,567,565,509,90,166,26,4,11,233,75,30,6,47,4,2,62,6,0,7,0.326,0.383,0.458,0.841,0.16,124.1,5.16,https://statiz.sporki.com/data/team/ci/2024/10001.svg,Kiwoom Heroes
6,오스틴,24 1B,5.06,140,4.9,0.17,604,600,527,99,168,32,3,32,302,132,12,8,61,3,6,82,9,0,13,0.319,0.384,0.573,0.957,0.192,147.8,5.06,https://statiz.sporki.com/data/team/ci/2024/5002.svg,Lotte Giants
7,홍창기,24 RF,5.06,139,4.48,0.59,637,635,524,96,176,18,3,5,215,73,10,11,96,12,3,93,8,1,4,0.336,0.447,0.41,0.857,0.185,142.3,5.06,https://statiz.sporki.com/data/team/ci/2024/5002.svg,Lotte Giants
8,박민우,24 2B,4.7,121,4.11,0.58,528,520,457,75,150,26,2,8,204,50,32,7,54,9,4,79,5,4,4,0.328,0.406,0.446,0.852,0.172,129.6,4.7,https://statiz.sporki.com/data/team/ci/2024/11001.svg,KT Wiz
9,최정,24 3B,4.55,129,4.65,-0.09,550,550,468,93,136,27,2,37,278,107,5,1,55,20,1,114,10,0,7,0.291,0.384,0.594,0.978,0.202,145.9,4.55,https://statiz.sporki.com/data/team/ci/2024/9002.svg,SSG Landers
10,에레디아,24 LF,4.42,136,4.09,0.33,591,588,541,82,195,31,1,21,291,118,4,3,28,13,3,73,12,0,9,0.36,0.399,0.538,0.937,0.191,137.2,4.42,https://statiz.sporki.com/data/team/ci/2024/9002.svg,SSG Landers
11,박동원,24 C,4.4,130,3.43,0.96,498,495,434,58,118,22,0,20,200,80,1,0,55,0,2,112,14,2,7,0.272,0.349,0.461,0.81,0.144,111,4.4,https://statiz.sporki.com/data/team/ci/2024/5002.svg,Lotte Giants
12,문보경,24 3B,4.32,144,4.47,-0.15,602,597,519,80,156,35,3,22,263,101,7,6,65,2,3,112,14,3,13,0.301,0.372,0.507,0.879,0.169,130.4,4.32,https://statiz.sporki.com/data/team/ci/2024/5002.svg,Lotte Giants
13,김지찬,24 CF,3.98,135,3.58,0.41,535,521,453,102,143,16,3,3,174,36,42,4,60,9,2,40,5,12,1,0.316,0.405,0.384,0.789,0.157,112.7,3.98,https://statiz.sporki.com/data/team/ci/2024/1001.svg,Hanwha Eagles
14,데이비슨,24 1B,3.98,131,4.26,-0.28,567,565,504,90,154,25,1,46,319,119,0,1,39,17,5,142,12,0,7,0.306,0.37,0.633,1.003,0.203,153.9,3.98,https://statiz.sporki.com/data/team/ci/2024/11001.svg,KT Wiz
15,권희동,24 LF,3.77,123,3.48,0.29,511,509,416,66,125,22,1,13,188,77,4,0,77,10,1,63,10,2,6,0.3,0.417,0.452,0.869,0.182,137.9,3.77,https://statiz.sporki.com/data/team/ci/2024/11001.svg,KT Wiz
16,김주원,24 SS,3.75,134,3.07,0.68,475,466,385,61,97,18,2,9,146,49,16,6,51,25,1,111,5,9,5,0.252,0.371,0.379,0.75,0.143,108.4,3.75,https://statiz.sporki.com/data/team/ci/2024/11001.svg,KT Wiz
17,강승호,24 2B,3.71,140,2.9,0.81,566,561,521,81,146,34,7,18,248,81,16,5,32,7,4,158,8,2,4,0.28,0.328,0.476,0.804,0.136,104.3,3.71,https://statiz.sporki.com/data/team/ci/2024/6002.svg,NC Dinos
18,박성한,24 SS,3.6,137,3.5,0.1,564,559,489,78,147,24,0,10,201,67,13,3,64,2,3,86,11,3,6,0.301,0.38,0.411,0.791,0.145,104,3.6,https://statiz.sporki.com/data/team/ci/2024/9002.svg,SSG Landers
19,소크라테스,24 LF,3.42,140,3.52,-0.1,602,599,552,92,171,30,3,26,285,97,13,5,41,4,4,91,7,0,5,0.31,0.359,0.516,0.875,0.163,121.2,3.42,https://statiz.sporki.com/data/team/ci/2024/2002.svg,KIA Tigers
20,레이예스,24 RF,3.4,144,3.98,-0.58,632,631,574,88,202,40,3,15,293,111,5,0,46,1,2,82,16,0,11,0.352,0.394,0.51,0.904,0.179,127.5,3.4,https://statiz.sporki.com/data/team/ci/2024/3001.svg,LG Twins
21,강민호,24 C,3.32,136,3.02,0.3,452,450,403,48,122,19,1,19,200,77,3,0,35,8,2,52,17,0,6,0.303,0.365,0.496,0.861,0.161,115.6,3.32,https://statiz.sporki.com/data/team/ci/2024/1001.svg,Hanwha Eagles
22,장성우,24 C,3.23,131,3.13,0.1,489,486,418,53,112,19,0,19,188,81,5,0,60,1,1,86,8,2,8,0.268,0.355,0.45,0.805,0.144,104.2,3.23,https://statiz.sporki.com/data/team/ci/2024/12001.svg,Doosan Bears
23,양의지,24 C,3.21,119,3.4,-0.19,485,482,430,57,135,18,1,17,206,94,2,1,40,9,5,56,13,0,6,0.314,0.379,0.479,0.858,0.164,125.3,3.21,https://statiz.sporki.com/data/team/ci/2024/6002.svg,NC Dinos
24,허경민,24 3B,3.2,115,2.99,0.21,477,477,417,69,129,28,0,7,178,61,5,1,36,18,0,25,8,0,6,0.309,0.384,0.427,0.811,0.16,122,3.2,https://statiz.sporki.com/data/team/ci/2024/6002.svg,NC Dinos
25,도슨,24 LF,3.17,95,3.07,0.1,429,429,382,69,126,31,2,11,194,57,2,2,39,6,0,54,10,0,2,0.33,0.399,0.508,0.907,0.187,145.9,3.17,https://statiz.sporki.com/data/team/ci/2024/10001.svg,Kiwoom Heroes
